ら戳,Θユ计,Θユ肂,秨絃基,程蔼基,程基,Μ絃基,害禴基畉,Θユ掸计
2003/01/02,10535000,412864500,39.00,39.70,38.80,39.10,+0.20,3219
2003/01/03,25208187,1010711056,40.00,40.40,39.70,40.00,+0.90,6682
2003/01/06,18881880,753043612,40.20,40.30,39.60,39.70,-0.30,5071
2003/01/07,35759076,1461227193,40.50,41.30,40.30,40.60,+0.90,9212
2003/01/08,24660666,1011273124,41.00,41.40,40.40,41.00,+0.40,6748
2003/01/09,42724972,1786244622,40.70,42.70,40.50,42.60,+1.60,10700
2003/01/10,47060061,2031650383,43.40,44.20,41.50,41.70,-0.90,12244
2003/01/13,43386438,1880760579,42.70,43.90,42.20,43.50,+1.80,10394
2003/01/14,39207907,1722175168,43.80,44.50,43.20,43.90,+0.40,9482
2003/01/15,38653346,1714075227,44.80,45.10,43.60,43.60,-0.30,9375
2003/01/16,20265061,864313343,43.00,43.60,41.50,41.50,-2.10,5916
2003/01/17,18167668,761691102,41.70,42.50,41.40,41.70,+0.20,4983
2003/01/20,12830835,535699256,41.50,42.40,41.30,41.90,+0.20,3454
2003/01/21,25218986,1073531520,42.50,43.30,41.90,42.30,+0.40,6522
2003/01/22,17750703,739312391,42.30,42.60,40.90,41.50,-0.80,5176
2003/01/23,31103104,1312955359,41.80,42.90,41.50,41.60,+0.10,7704
2003/01/24,24671525,1020719590,42.10,42.30,40.60,40.60,-1.00,6299
2003/01/27,22246230,885858530,40.10,40.40,39.50,39.50,-1.10,6053
2003/01/28,12716841,507422335,39.50,40.20,39.50,39.90,+0.40,3644
2003/02/06,24048000,917580500,40.00,40.10,37.20,37.20,-2.70,6647
2003/02/07,25789055,963277490,37.00,38.10,36.50,38.10,+0.90,7720
2003/02/10,13208899,497936165,38.00,38.00,37.20,37.60,-0.50,3255
2003/02/11,33949142,1329800115,38.50,39.90,38.20,39.10,+1.50,9163
2003/02/12,17653484,694469318,39.20,39.80,39.00,39.50,+0.40,5525
2003/02/13,16297609,640499623,39.70,39.90,38.50,38.50,-1.00,4974
2003/02/14,13821127,538408053,39.10,39.30,38.60,38.80,+0.30,4054
2003/02/17,21209760,855391935,40.50,40.70,40.00,40.60,+1.80,6338
2003/02/18,10262174,411103492,40.60,40.60,39.80,39.80,-0.80,3186
2003/02/19,15703049,630016634,40.40,40.80,39.40,39.40,-0.40,3973
2003/02/20,14944435,599325145,39.90,40.50,39.70,40.20,+0.80,4007
2003/02/21,11170769,446347451,40.60,40.70,39.50,39.50,-0.70,3763
2003/02/24,7115705,282025501,40.00,40.00,39.10,40.00,+0.50,2346
2003/02/25,9227926,359871051,39.50,39.60,38.70,38.70,-1.30,2728
2003/02/26,7197085,278917270,38.80,39.30,38.50,38.50,-0.20,2478
2003/02/27,7946193,301179682,38.00,38.20,37.60,37.80,-0.70,2544
2003/03/03,11763512,454332334,38.10,39.20,38.00,39.20,+1.40,3047
2003/03/04,5240083,202311337,38.50,38.80,38.50,38.70,-0.50,1693
2003/03/05,8504152,321266847,38.20,38.30,37.40,37.50,-1.20,2840
2003/03/06,17903701,684051622,38.40,38.80,37.80,37.80,+0.30,5507
2003/03/07,21427567,822020323,37.80,38.80,37.60,38.50,+0.70,6971
2003/03/10,17796165,694947805,38.90,39.50,38.70,38.80,+0.30,5241
2003/03/11,21777513,854437092,38.70,39.80,38.40,39.40,+0.60,6904
2003/03/12,13802529,547015926,39.80,39.90,39.20,39.80,+0.40,4556
2003/03/13,11830103,470965270,39.80,40.20,39.40,39.60,-0.20,3829
2003/03/14,22568468,922762832,41.50,41.50,40.30,40.30,+0.70,6986
2003/03/17,8310819,327388314,39.80,40.00,39.00,39.00,-1.30,3040
2003/03/18,23408753,976045574,41.70,41.70,41.50,41.70,+2.70,5471
2003/03/19,46373899,1971666670,41.80,43.20,41.70,42.30,+0.60,10189
2003/03/20,57630949,2509727847,43.50,44.50,42.30,44.20,+1.90,15489
2003/03/21,21047512,917138511,44.00,44.00,43.00,43.90,-0.30,5494
2003/03/24,21318034,935605445,44.10,44.30,43.60,43.60,-0.30,5293
2003/03/25,18339159,783708412,42.60,43.20,42.40,42.90,-0.70,4704
2003/03/26,13998166,596763243,43.00,43.20,42.10,42.30,-0.60,3869
2003/03/27,16850960,708632189,41.80,42.90,41.50,42.90,+0.60,4457
2003/03/28,15293312,640481964,42.60,42.60,41.50,41.90,-1.00,4428
2003/03/31,17189199,696176925,41.00,41.20,40.00,40.00,-1.90,5310
2003/04/01,17099083,685228697,39.60,40.50,39.60,40.10,+0.10,5450
2003/04/02,20353302,801332442,40.10,40.10,38.70,39.10,-1.00,6707
2003/04/03,19308372,768706363,40.00,40.20,39.40,39.70,+0.60,5795
2003/04/04,26081177,1053075087,39.20,41.20,39.20,41.10,+1.40,8091
2003/04/07,28193099,1154668265,41.00,41.40,40.40,40.90,-0.20,8138
2003/04/08,25510384,1032901294,40.70,40.90,40.00,40.10,-0.80,6759
2003/04/09,23143857,906585112,39.60,39.70,38.60,39.30,-0.80,6785
2003/04/10,20504631,812010563,39.30,40.00,39.30,39.50,+0.20,6295
2003/04/11,10317604,406264128,39.50,39.70,39.20,39.30,-0.20,3342
2003/04/14,12415603,485117770,39.50,39.50,38.80,39.00,-0.30,3608
2003/04/15,10068120,396721850,39.40,39.70,39.20,39.20,+0.20,3465
2003/04/16,32288185,1307163615,39.60,41.00,39.60,40.60,+1.40,9142
2003/04/17,12828614,515495082,40.60,40.60,39.90,40.00,-0.60,3929
2003/04/18,44061988,1829830815,41.00,41.90,41.00,41.30,+1.30,10409
2003/04/21,22068674,908084697,41.30,41.60,40.60,41.60,+0.30,5599
2003/04/22,14386664,585485130,41.00,41.20,40.40,40.40,-1.20,4194
2003/04/23,18089708,732219134,40.90,41.20,40.00,40.00,-0.40,5052
2003/04/24,36856646,1425476998,39.90,39.90,38.00,38.60,-1.40,10569
2003/04/25,21892232,828183501,38.00,38.40,37.40,37.50,-1.10,6320
2003/04/28,20833126,743585577,36.60,36.60,34.90,35.80,-1.70,5425
2003/04/29,20341727,744625702,36.60,37.30,36.10,36.40,+0.60,5801
2003/04/30,17658004,638810518,36.80,37.20,35.40,35.40,-1.00,4863
2003/05/02,13726289,488771622,35.20,36.10,35.10,36.10,+0.70,3797
2003/05/05,8379426,301985779,36.00,36.30,35.60,36.10,0.00,2519
2003/05/06,8261940,298269511,36.10,36.40,35.80,35.90,-0.20,2646
2003/05/07,24108952,890264471,36.40,37.20,36.40,36.90,+1.00,5873
2003/05/08,11669124,427866954,36.90,37.20,36.30,36.40,-0.50,3018
2003/05/09,8927211,326381113,36.40,36.80,36.30,36.30,-0.10,2495
2003/05/12,8816375,324037599,36.30,37.00,36.30,36.90,+0.60,2141
2003/05/13,29922283,1147028455,37.60,38.80,37.60,38.40,+1.50,7526
2003/05/14,11154112,425059667,38.30,38.50,37.90,38.00,-0.40,2905
2003/05/15,9244495,346336472,37.80,37.80,37.10,37.60,-0.40,2712
2003/05/16,8194913,308141319,37.90,38.20,37.10,37.20,-0.40,2702
2003/05/19,5523062,202746353,37.00,37.00,36.50,36.80,-0.40,1659
2003/05/20,4823195,176493705,36.20,36.90,36.20,36.70,-0.10,1504
2003/05/21,6537901,237280627,36.80,36.80,36.00,36.10,-0.60,2104
2003/05/22,11079750,404044897,36.10,36.80,35.90,36.80,+0.70,3201
2003/05/23,20957776,787248282,37.20,37.90,37.10,37.60,+0.80,5364
2003/05/26,24723551,951499635,38.00,38.90,38.00,38.80,+1.20,6105
2003/05/27,13485084,521919523,38.80,39.10,38.40,38.70,-0.10,3712
2003/05/28,21594535,847827890,39.70,39.80,38.60,38.70,0.00,5538
2003/05/29,13569166,530090781,39.00,39.30,38.80,39.20,+0.50,3644
2003/05/30,55121109,2243108351,39.20,41.70,39.00,40.90,+1.70,12600
2003/06/02,52130574,2218334705,42.00,43.30,41.90,43.00,+2.10,12343
2003/06/03,22286015,947704601,43.00,43.00,42.00,42.10,-0.90,5827
2003/06/05,39127837,1683171831,42.80,43.70,42.40,42.60,+0.50,7906
2003/06/06,19459377,832162812,42.60,43.20,42.20,43.10,+0.50,5601
2003/06/09,45378566,1995426348,42.70,44.80,42.60,44.20,+1.10,10240
2003/06/10,36893090,1645636746,43.90,45.30,43.60,45.00,+0.80,8479
2003/06/11,39994183,1804234162,45.00,45.80,44.30,45.00,0.00,9000
2003/06/12,44911237,2084651843,45.60,47.50,45.00,46.50,+1.50,11299
2003/06/13,34480623,1605867755,46.50,47.40,46.00,46.30,-0.20,8259
2003/06/16,44081697,1979391747,45.50,46.00,44.50,44.60,-1.70,10573
2003/06/17,35168878,1583850253,45.10,45.50,44.60,44.60,0.00,8664
2003/06/18,35350095,1598706025,44.90,45.90,44.80,44.90,+0.30,6586
2003/06/19,50145000,2306894700,45.40,47.00,45.20,47.00,+2.10,8485
2003/06/20,51198000,2366769900,46.50,46.90,45.60,45.80,-1.20,9714
2003/06/23,74204000,2838867200,37.90,38.70,37.50,38.40,X0.00,13236
2003/06/24,26559110,1008408356,38.20,38.40,37.50,38.40,0.00,6674
2003/06/25,36403853,1412458767,38.40,39.30,38.00,38.90,+0.50,8185
2003/06/26,22860361,890400152,38.60,39.40,38.50,38.80,-0.10,5095
2003/06/27,34246021,1361664703,40.00,40.30,39.30,39.60,+0.80,7900
2003/06/30,12533018,492399595,39.60,39.60,38.90,39.30,-0.30,3161
2003/07/01,28231339,1140541037,39.20,41.00,39.20,41.00,+1.70,6422
2003/07/02,46170327,1965270076,41.40,43.10,41.40,42.60,+1.60,9050
2003/07/03,37444803,1609822706,43.10,43.90,41.50,42.50,-0.10,8215
2003/07/04,26934408,1137286212,42.50,42.90,41.70,42.40,-0.10,5819
2003/07/07,29503217,1262859504,42.70,43.30,42.30,42.50,+0.10,7032
2003/07/08,81829246,3569499476,43.00,44.60,42.50,43.50,+1.00,15661
2003/07/09,40751050,1744721598,43.50,43.50,42.50,42.50,-1.00,7635
2003/07/10,43048299,1797878581,42.50,42.80,41.10,41.30,-1.20,7896
