ら戳,Θユ计,Θユ肂,秨絃基,程蔼基,程基,Μ絃基,害禴基畉,Θユ掸计
2003/01/02,7173000,217374400,30.10,30.70,29.70,30.40,+0.40,1986
2003/01/03,20608301,645642283,30.80,31.90,30.80,31.00,+0.60,5165
2003/01/06,23799659,757392544,31.20,32.30,31.10,32.00,+1.00,5433
2003/01/07,17823191,571547111,32.40,32.50,31.70,31.90,-0.10,3989
2003/01/08,56061199,1878373413,32.20,34.10,32.20,34.10,+2.20,9697
2003/01/09,150680266,5453732877,35.70,36.40,35.40,36.40,+2.30,19463
2003/01/10,86445174,3182154158,37.00,37.80,35.60,37.70,+1.30,16351
2003/01/13,72025112,2733884913,38.00,38.40,37.30,37.70,0.00,13951
2003/01/14,47691522,1812060567,37.80,38.80,37.00,37.70,0.00,10380
2003/01/15,41932385,1585321792,38.00,38.30,37.10,38.20,+0.50,8454
2003/01/16,43002257,1611272166,38.00,38.20,36.00,36.20,-2.00,8058
2003/01/17,27028599,990021537,36.20,37.20,36.20,36.20,0.00,6200
2003/01/20,18482909,680116764,36.20,37.50,36.20,37.30,+1.10,4377
2003/01/21,50311831,1902406439,37.50,38.40,36.70,37.30,0.00,9367
2003/01/22,63990566,2459933663,37.30,39.50,37.30,39.20,+1.90,11298
2003/01/23,107094786,4434587054,41.50,41.90,40.50,40.70,+1.50,13957
2003/01/24,42536030,1725741573,41.00,41.40,39.80,39.80,-0.90,7936
2003/01/27,36392774,1419660402,39.70,40.30,38.00,39.00,-0.80,5771
2003/01/28,23957734,932740516,39.00,39.30,38.50,38.60,-0.40,4359
2003/02/06,25670000,982064400,38.60,39.30,36.80,36.80,-1.80,5269
2003/02/07,28630792,1014621059,36.90,37.50,34.30,35.00,-1.80,5601
2003/02/10,18249872,639400674,35.00,35.60,34.50,35.00,0.00,3797
2003/02/11,19689162,691983881,35.60,35.90,34.50,35.00,0.00,4440
2003/02/12,27926794,1006642628,35.00,36.60,34.80,36.20,+1.20,6348
2003/02/13,16209532,575720238,36.20,36.40,35.00,35.10,-1.10,3290
2003/02/14,15519858,537900017,35.30,35.60,34.10,34.80,-0.30,3222
2003/02/17,13641844,485892060,35.40,36.00,35.20,35.70,+0.90,3481
2003/02/18,19524367,674672148,35.40,35.50,34.00,34.20,-1.50,3341
