ら戳,Θユ计,Θユ肂,秨絃基,程蔼基,程基,Μ絃基,害禴基畉,Θユ掸计
2003/01/02,11610000,140005000,11.85,12.25,11.70,12.20,+0.40,1832
2003/01/03,17473516,220880841,12.30,12.85,12.30,12.50,+0.30,2545
2003/01/06,18449280,244019527,12.55,13.35,12.55,13.35,+0.85,2174
2003/01/07,115277806,1629075986,14.05,14.25,13.65,14.25,+0.90,8724
2003/01/08,65596800,987094596,14.70,15.20,14.60,15.20,+0.95,5284
2003/01/09,108819822,1708519506,15.90,16.20,15.10,15.50,+0.30,10750
2003/01/10,43750564,672310943,15.90,15.90,14.70,15.50,0.00,5511
2003/01/13,42952934,669484874,15.60,16.00,15.20,16.00,+0.50,4684
2003/01/14,62744369,1029826436,16.00,17.10,15.60,15.80,-0.20,7557
2003/01/15,56951749,886280740,15.60,16.00,15.00,15.80,0.00,6611
2003/01/16,82255897,1317205509,15.80,16.40,15.60,15.60,-0.20,8171
2003/01/17,43391802,650962940,15.60,15.60,14.60,14.70,-0.90,4442
2003/01/20,37500936,575473980,14.60,15.70,14.60,15.70,+1.00,4636
2003/01/21,32364450,503472040,15.60,15.90,15.00,15.20,-0.50,4377
2003/01/22,57989643,933717626,15.20,16.20,15.20,16.20,+1.00,5449
2003/01/23,19129447,330887641,17.30,17.30,17.30,17.30,+1.10,1990
2003/01/24,155447395,2844742035,18.50,18.50,17.80,17.90,+0.60,11846
2003/01/27,29394209,502953671,17.60,17.90,16.70,16.70,-1.20,3648
2003/01/28,80311845,1344284933,16.60,17.00,16.20,16.90,+0.20,5444
2003/02/06,63964000,1120427800,16.80,18.00,16.30,17.50,+0.60,6469
2003/02/07,44094870,772497113,18.00,18.30,16.60,17.00,-0.50,5261
2003/02/10,18303736,298739526,16.80,16.90,15.90,15.90,-1.10,2343
2003/02/11,38197744,582708505,16.20,16.20,14.80,14.90,-1.00,4491
2003/02/12,32714321,496208852,14.60,15.50,14.50,15.10,+0.20,4550
2003/02/13,22826331,329884988,15.10,15.30,14.05,14.05,-1.05,2937
2003/02/14,29850738,409289377,14.05,14.20,13.30,13.75,-0.30,3495
2003/02/17,28200430,403779695,14.10,14.65,13.90,14.55,+0.80,3521
2003/02/18,14090618,194807500,14.55,14.55,13.55,13.55,-1.00,2196
2003/02/19,35198051,464171502,13.55,13.60,12.85,13.20,-0.35,3836
2003/02/20,29884036,384233038,13.15,13.40,12.45,12.80,-0.40,3991
2003/02/21,19858276,255158976,12.90,13.00,12.75,12.85,+0.05,3023
2003/02/24,24810696,326939058,12.95,13.45,12.90,13.40,+0.55,3531
2003/02/25,20161429,258460766,13.20,13.30,12.50,12.50,-0.90,2773
2003/02/26,28404279,355363071,12.70,12.70,12.30,12.50,0.00,3260
2003/02/27,24888363,312355044,12.40,12.75,12.10,12.75,+0.25,2949
2003/03/03,20387985,266810891,13.00,13.25,12.80,13.10,+0.35,3269
2003/03/04,16588435,217389120,13.00,13.30,12.85,13.10,0.00,2239
2003/03/05,17948590,234402561,13.00,13.20,12.90,12.90,-0.20,2739
2003/03/06,13845705,178215885,13.00,13.10,12.60,12.70,-0.20,2106
2003/03/07,28798025,354389260,12.50,12.80,11.85,12.20,-0.50,2985
2003/03/10,12052666,144234079,12.15,12.20,11.75,12.00,-0.20,1604
2003/03/11,22067906,259788478,12.00,12.20,11.35,11.75,-0.25,2770
2003/03/12,14872438,176320744,11.75,12.00,11.70,11.90,+0.15,2136
2003/03/13,22087733,267628930,11.80,12.40,11.75,12.20,+0.30,2946
2003/03/14,27529334,350087030,12.60,12.85,12.55,12.60,+0.40,3936
