ら戳,Θユ计,Θユ肂,秨絃基,程蔼基,程基,Μ絃基,害禴基畉,Θユ掸计
2003/01/02,1549000,63180400,40.60,41.30,40.10,40.60,0.00,642
2003/01/03,3360431,138318905,41.30,41.60,40.90,41.10,+0.50,1144
2003/01/06,3787299,157257179,41.30,41.90,41.10,41.30,+0.20,1273
2003/01/07,2513003,105163042,42.00,42.40,41.10,41.10,-0.20,1074
2003/01/08,2632797,109323776,41.30,41.80,41.10,41.50,+0.40,999
2003/01/09,6569964,268999324,41.10,41.30,40.50,40.70,-0.80,2011
2003/01/10,7816253,326510125,41.50,42.40,41.40,41.50,+0.80,2436
2003/01/13,8827668,388749964,42.30,44.40,42.00,44.40,+2.90,2376
2003/01/14,12984126,587611159,45.10,45.70,44.80,44.80,+0.40,3721
2003/01/15,4796680,216146794,45.60,45.60,44.70,45.10,+0.30,1894
2003/01/16,4633335,205180363,44.90,45.20,43.50,43.70,-1.40,1397
2003/01/17,5805486,249468243,43.70,43.90,42.50,42.80,-0.90,1421
2003/01/20,4661550,194387984,42.50,42.70,41.50,41.70,-1.10,1226
2003/01/21,5040066,214420244,41.80,43.20,41.80,42.40,+0.70,1382
2003/01/22,4098727,171878588,43.10,43.10,41.20,41.50,-0.90,1340
2003/01/23,15060569,629092089,41.60,42.50,41.30,41.50,0.00,3730
2003/01/24,3167043,131357648,42.00,42.00,41.00,41.20,-0.30,1371
2003/01/27,3113351,127278467,40.30,41.50,40.30,40.60,-0.60,1127
2003/01/28,5535223,231233492,40.80,42.20,40.80,42.20,+1.60,1481
2003/02/06,4874000,196002300,41.40,42.00,39.30,39.30,-2.90,1560
2003/02/07,5863697,226762928,39.30,40.20,37.00,38.70,-0.60,1954
2003/02/10,3626369,137881403,38.30,38.30,37.50,37.90,-0.80,1230
2003/02/11,5160526,200318959,38.40,39.50,38.00,39.00,+1.10,1648
2003/02/12,1343304,52032692,38.80,39.00,38.30,38.80,-0.20,570
2003/02/13,3491853,135105620,38.80,39.20,38.30,38.50,-0.30,1067
2003/02/14,2895547,110673145,39.00,39.20,37.60,37.70,-0.80,1168
2003/02/17,3880892,151419266,38.90,39.50,38.50,39.10,+1.40,1509
2003/02/18,4376710,169695610,39.20,39.20,38.40,39.00,-0.10,1204
2003/02/19,4747208,184598367,39.60,39.70,38.00,38.00,-1.00,1558
2003/02/20,5116848,198080794,38.20,39.10,38.00,38.80,+0.80,1572
2003/02/21,3236924,126299962,39.40,39.40,38.80,39.10,+0.30,1017
